match_id,inning,batting_team,bowling_team
47.0,1.0,Mumbai Indians,Sunrisers Hyderabad
47.0,2.0,Sunrisers Hyderabad,Mumbai Indians
48.0,1.0,Kings XI Punjab,Kolkata Knight Riders
48.0,2.0,Kolkata Knight Riders,Kings XI Punjab
49.0,1.0,Gujarat Lions,Delhi Daredevils
49.0,2.0,Delhi Daredevils,Gujarat Lions
50.0,1.0,Kings XI Punjab,Mumbai Indians
50.0,2.0,Mumbai Indians,Kings XI Punjab
51.0,1.0,Delhi Daredevils,Rising Pune Supergiant
51.0,2.0,Rising Pune Supergiant,Delhi Daredevils
52.0,1.0,Gujarat Lions,Sunrisers Hyderabad
52.0,2.0,Sunrisers Hyderabad,Gujarat Lions
53.0,1.0,Mumbai Indians,Kolkata Knight Riders
53.0,2.0,Kolkata Knight Riders,Mumbai Indians
54.0,1.0,Kings XI Punjab,Rising Pune Supergiant
54.0,2.0,Rising Pune Supergiant,Kings XI Punjab
55.0,1.0,Royal Challengers Bangalore,Delhi Daredevils
55.0,2.0,Delhi Daredevils,Royal Challengers Bangalore
56.0,1.0,Rising Pune Supergiant,Mumbai Indians
56.0,2.0,Mumbai Indians,Rising Pune Supergiant
57.0,1.0,Sunrisers Hyderabad,Kolkata Knight Riders
57.0,2.0,Kolkata Knight Riders,Sunrisers Hyderabad
58.0,1.0,Kolkata Knight Riders,Mumbai Indians
58.0,2.0,Mumbai Indians,Kolkata Knight Riders
59.0,1.0,Mumbai Indians,Rising Pune Supergiant
59.0,2.0,Rising Pune Supergiant,Mumbai Indians
60.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore
60.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders
61.0,1.0,Chennai Super Kings,Kings XI Punjab
61.0,2.0,Kings XI Punjab,Chennai Super Kings
62.0,1.0,Rajasthan Royals,Delhi Daredevils
62.0,2.0,Delhi Daredevils,Rajasthan Royals
63.0,1.0,Mumbai Indians,Royal Challengers Bangalore
63.0,2.0,Royal Challengers Bangalore,Mumbai Indians
64.0,1.0,Deccan Chargers,Kolkata Knight Riders
64.0,2.0,Kolkata Knight Riders,Deccan Chargers
65.0,1.0,Kings XI Punjab,Rajasthan Royals
65.0,2.0,Rajasthan Royals,Kings XI Punjab
66.0,1.0,Deccan Chargers,Delhi Daredevils
66.0,2.0,Delhi Daredevils,Deccan Chargers
67.0,1.0,Chennai Super Kings,Mumbai Indians
67.0,2.0,Mumbai Indians,Chennai Super Kings
68.0,1.0,Deccan Chargers,Rajasthan Royals
68.0,2.0,Rajasthan Royals,Deccan Chargers
69.0,1.0,Kings XI Punjab,Mumbai Indians
69.0,2.0,Mumbai Indians,Kings XI Punjab
70.0,1.0,Royal Challengers Bangalore,Rajasthan Royals
70.0,2.0,Rajasthan Royals,Royal Challengers Bangalore
71.0,1.0,Kolkata Knight Riders,Chennai Super Kings
71.0,2.0,Chennai Super Kings,Kolkata Knight Riders
72.0,1.0,Mumbai Indians,Deccan Chargers
72.0,2.0,Deccan Chargers,Mumbai Indians
73.0,1.0,Delhi Daredevils,Kings XI Punjab
73.0,2.0,Kings XI Punjab,Delhi Daredevils
74.0,1.0,Chennai Super Kings,Royal Challengers Bangalore
74.0,2.0,Royal Challengers Bangalore,Chennai Super Kings
75.0,1.0,Kolkata Knight Riders,Mumbai Indians
75.0,2.0,Mumbai Indians,Kolkata Knight Riders
76.0,1.0,Delhi Daredevils,Royal Challengers Bangalore
76.0,2.0,Royal Challengers Bangalore,Delhi Daredevils
77.0,1.0,Deccan Chargers,Kings XI Punjab
77.0,2.0,Kings XI Punjab,Deccan Chargers
78.0,1.0,Rajasthan Royals,Kolkata Knight Riders
78.0,2.0,Kolkata Knight Riders,Rajasthan Royals
79.0,1.0,Chennai Super Kings,Delhi Daredevils
79.0,2.0,Delhi Daredevils,Chennai Super Kings
80.0,1.0,Deccan Chargers,Royal Challengers Bangalore
80.0,2.0,Royal Challengers Bangalore,Deccan Chargers
81.0,1.0,Kings XI Punjab,Kolkata Knight Riders
81.0,2.0,Kolkata Knight Riders,Kings XI Punjab
82.0,1.0,Mumbai Indians,Delhi Daredevils
82.0,2.0,Delhi Daredevils,Mumbai Indians
83.0,1.0,Chennai Super Kings,Rajasthan Royals
83.0,2.0,Rajasthan Royals,Chennai Super Kings
84.0,1.0,Royal Challengers Bangalore,Kings XI Punjab
84.0,2.0,Kings XI Punjab,Royal Challengers Bangalore
85.0,1.0,Chennai Super Kings,Deccan Chargers
85.0,2.0,Deccan Chargers,Chennai Super Kings
86.0,1.0,Rajasthan Royals,Mumbai Indians
86.0,2.0,Mumbai Indians,Rajasthan Royals
87.0,1.0,Delhi Daredevils,Chennai Super Kings
87.0,2.0,Chennai Super Kings,Delhi Daredevils
88.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore
88.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders
89.0,1.0,Deccan Chargers,Rajasthan Royals
89.0,2.0,Rajasthan Royals,Deccan Chargers
90.0,1.0,Royal Challengers Bangalore,Mumbai Indians
90.0,2.0,Mumbai Indians,Royal Challengers Bangalore
91.0,1.0,Chennai Super Kings,Kings XI Punjab
91.0,2.0,Kings XI Punjab,Chennai Super Kings
92.0,1.0,Kolkata Knight Riders,Deccan Chargers
92.0,2.0,Deccan Chargers,Kolkata Knight Riders
93.0,1.0,Delhi Daredevils,Rajasthan Royals
93.0,2.0,Rajasthan Royals,Delhi Daredevils
94.0,1.0,Royal Challengers Bangalore,Kings XI Punjab
94.0,2.0,Kings XI Punjab,Royal Challengers Bangalore
95.0,1.0,Kolkata Knight Riders,Delhi Daredevils
95.0,2.0,Delhi Daredevils,Kolkata Knight Riders
96.0,1.0,Chennai Super Kings,Mumbai Indians
96.0,2.0,Mumbai Indians,Chennai Super Kings
97.0,1.0,Kings XI Punjab,Rajasthan Royals
97.0,2.0,Rajasthan Royals,Kings XI Punjab
98.0,1.0,Delhi Daredevils,Deccan Chargers
98.0,2.0,Deccan Chargers,Delhi Daredevils
99.0,1.0,Kolkata Knight Riders,Mumbai Indians
99.0,2.0,Mumbai Indians,Kolkata Knight Riders
100.0,1.0,Delhi Daredevils,Kings XI Punjab
100.0,2.0,Kings XI Punjab,Delhi Daredevils
101.0,1.0,Rajasthan Royals,Royal Challengers Bangalore
101.0,2.0,Royal Challengers Bangalore,Rajasthan Royals
102.0,1.0,Mumbai Indians,Deccan Chargers
102.0,2.0,Deccan Chargers,Mumbai Indians
103.0,1.0,Kolkata Knight Riders,Chennai Super Kings
103.0,2.0,Chennai Super Kings,Kolkata Knight Riders
104.0,1.0,Royal Challengers Bangalore,Delhi Daredevils
104.0,2.0,Delhi Daredevils,Royal Challengers Bangalore
105.0,1.0,Kolkata Knight Riders,Rajasthan Royals
105.0,2.0,Rajasthan Royals,Kolkata Knight Riders
106.0,1.0,Kings XI Punjab,Mumbai Indians
106.0,2.0,Mumbai Indians,Kings XI Punjab
107.0,1.0,Royal Challengers Bangalore,Chennai Super Kings
107.0,2.0,Chennai Super Kings,Royal Challengers Bangalore
108.0,1.0,Deccan Chargers,Kings XI Punjab
108.0,2.0,Kings XI Punjab,Deccan Chargers
109.0,1.0,Mumbai Indians,Delhi Daredevils
109.0,2.0,Delhi Daredevils,Mumbai Indians
110.0,1.0,Rajasthan Royals,Chennai Super Kings
110.0,2.0,Chennai Super Kings,Rajasthan Royals
111.0,1.0,Royal Challengers Bangalore,Deccan Chargers
111.0,2.0,Deccan Chargers,Royal Challengers Bangalore
112.0,1.0,Kings XI Punjab,Kolkata Knight Riders
112.0,2.0,Kolkata Knight Riders,Kings XI Punjab
113.0,1.0,Mumbai Indians,Rajasthan Royals
113.0,2.0,Rajasthan Royals,Mumbai Indians
114.0,1.0,Deccan Chargers,Chennai Super Kings
114.0,2.0,Chennai Super Kings,Deccan Chargers
115.0,1.0,Rajasthan Royals,Delhi Daredevils
115.0,2.0,Delhi Daredevils,Rajasthan Royals
116.0,1.0,Kings XI Punjab,Chennai Super Kings
116.0,2.0,Chennai Super Kings,Kings XI Punjab
117.0,1.0,Chennai Super Kings,Rajasthan Royals
117.0,2.0,Rajasthan Royals,Chennai Super Kings
118.0,1.0,Mumbai Indians,Chennai Super Kings
118.0,2.0,Chennai Super Kings,Mumbai Indians
119.0,1.0,Royal Challengers Bangalore,Rajasthan Royals
119.0,2.0,Rajasthan Royals,Royal Challengers Bangalore
120.0,1.0,Kings XI Punjab,Delhi Daredevils
120.0,2.0,Delhi Daredevils,Kings XI Punjab
121.0,1.0,Kolkata Knight Riders,Deccan Chargers
121.0,2.0,Deccan Chargers,Kolkata Knight Riders
122.0,1.0,Chennai Super Kings,Royal Challengers Bangalore
122.0,2.0,Royal Challengers Bangalore,Chennai Super Kings
123.0,1.0,Kings XI Punjab,Kolkata Knight Riders
123.0,2.0,Kolkata Knight Riders,Kings XI Punjab
124.0,1.0,Deccan Chargers,Royal Challengers Bangalore
124.0,2.0,Royal Challengers Bangalore,Deccan Chargers
125.0,1.0,Delhi Daredevils,Chennai Super Kings
125.0,2.0,Chennai Super Kings,Delhi Daredevils
126.0,1.0,Rajasthan Royals,Kolkata Knight Riders
126.0,2.0,Kolkata Knight Riders,Rajasthan Royals
126.0,3.0,Kolkata Knight Riders,Rajasthan Royals
126.0,4.0,Rajasthan Royals,Kolkata Knight Riders
127.0,1.0,Royal Challengers Bangalore,Kings XI Punjab
127.0,2.0,Kings XI Punjab,Royal Challengers Bangalore
128.0,1.0,Deccan Chargers,Mumbai Indians
128.0,2.0,Mumbai Indians,Deccan Chargers
129.0,1.0,Royal Challengers Bangalore,Delhi Daredevils
129.0,2.0,Delhi Daredevils,Royal Challengers Bangalore
130.0,1.0,Kings XI Punjab,Rajasthan Royals
130.0,2.0,Rajasthan Royals,Kings XI Punjab
131.0,1.0,Chennai Super Kings,Deccan Chargers
131.0,2.0,Deccan Chargers,Chennai Super Kings
132.0,1.0,Mumbai Indians,Kolkata Knight Riders
132.0,2.0,Kolkata Knight Riders,Mumbai Indians
133.0,1.0,Delhi Daredevils,Rajasthan Royals
133.0,2.0,Rajasthan Royals,Delhi Daredevils
134.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore
134.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders
135.0,1.0,Kings XI Punjab,Mumbai Indians
135.0,2.0,Mumbai Indians,Kings XI Punjab
136.0,1.0,Deccan Chargers,Delhi Daredevils
136.0,2.0,Delhi Daredevils,Deccan Chargers
137.0,1.0,Chennai Super Kings,Rajasthan Royals
137.0,2.0,Rajasthan Royals,Chennai Super Kings
138.0,1.0,Mumbai Indians,Kolkata Knight Riders
138.0,2.0,Kolkata Knight Riders,Mumbai Indians
139.0,1.0,Royal Challengers Bangalore,Kings XI Punjab
139.0,2.0,Kings XI Punjab,Royal Challengers Bangalore
140.0,1.0,Deccan Chargers,Rajasthan Royals
140.0,2.0,Rajasthan Royals,Deccan Chargers
141.0,1.0,Chennai Super Kings,Delhi Daredevils
141.0,2.0,Delhi Daredevils,Chennai Super Kings
142.0,1.0,Kolkata Knight Riders,Kings XI Punjab
142.0,2.0,Kings XI Punjab,Kolkata Knight Riders
143.0,1.0,Mumbai Indians,Royal Challengers Bangalore
143.0,2.0,Royal Challengers Bangalore,Mumbai Indians
144.0,1.0,Chennai Super Kings,Deccan Chargers
144.0,2.0,Deccan Chargers,Chennai Super Kings
145.0,1.0,Rajasthan Royals,Kings XI Punjab
145.0,2.0,Kings XI Punjab,Rajasthan Royals
146.0,1.0,Kolkata Knight Riders,Delhi Daredevils
146.0,2.0,Delhi Daredevils,Kolkata Knight Riders
147.0,1.0,Deccan Chargers,Mumbai Indians
147.0,2.0,Mumbai Indians,Deccan Chargers
148.0,1.0,Royal Challengers Bangalore,Rajasthan Royals
148.0,2.0,Rajasthan Royals,Royal Challengers Bangalore
149.0,1.0,Chennai Super Kings,Kings XI Punjab
149.0,2.0,Kings XI Punjab,Chennai Super Kings
150.0,1.0,Mumbai Indians,Delhi Daredevils
150.0,2.0,Delhi Daredevils,Mumbai Indians
151.0,1.0,Deccan Chargers,Kings XI Punjab
151.0,2.0,Kings XI Punjab,Deccan Chargers
152.0,1.0,Rajasthan Royals,Chennai Super Kings
152.0,2.0,Chennai Super Kings,Rajasthan Royals
153.0,1.0,Mumbai Indians,Royal Challengers Bangalore
153.0,2.0,Royal Challengers Bangalore,Mumbai Indians
154.0,1.0,Kolkata Knight Riders,Delhi Daredevils
154.0,2.0,Delhi Daredevils,Kolkata Knight Riders
155.0,1.0,Deccan Chargers,Rajasthan Royals
155.0,2.0,Rajasthan Royals,Deccan Chargers
156.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore
156.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders
157.0,1.0,Kings XI Punjab,Mumbai Indians
157.0,2.0,Mumbai Indians,Kings XI Punjab
158.0,1.0,Delhi Daredevils,Deccan Chargers
158.0,2.0,Deccan Chargers,Delhi Daredevils
159.0,1.0,Chennai Super Kings,Royal Challengers Bangalore
159.0,2.0,Royal Challengers Bangalore,Chennai Super Kings
160.0,1.0,Rajasthan Royals,Mumbai Indians
160.0,2.0,Mumbai Indians,Rajasthan Royals
161.0,1.0,Delhi Daredevils,Kings XI Punjab
161.0,2.0,Kings XI Punjab,Delhi Daredevils
162.0,1.0,Mumbai Indians,Chennai Super Kings
162.0,2.0,Chennai Super Kings,Mumbai Indians
163.0,1.0,Kolkata Knight Riders,Deccan Chargers
163.0,2.0,Deccan Chargers,Kolkata Knight Riders
164.0,1.0,Kings XI Punjab,Deccan Chargers
164.0,2.0,Deccan Chargers,Kings XI Punjab
165.0,1.0,Delhi Daredevils,Rajasthan Royals
165.0,2.0,Rajasthan Royals,Delhi Daredevils
166.0,1.0,Chennai Super Kings,Kolkata Knight Riders
166.0,2.0,Kolkata Knight Riders,Chennai Super Kings
167.0,1.0,Delhi Daredevils,Royal Challengers Bangalore
167.0,2.0,Royal Challengers Bangalore,Delhi Daredevils
168.0,1.0,Rajasthan Royals,Kolkata Knight Riders
168.0,2.0,Kolkata Knight Riders,Rajasthan Royals
169.0,1.0,Chennai Super Kings,Kings XI Punjab
169.0,2.0,Kings XI Punjab,Chennai Super Kings
170.0,1.0,Mumbai Indians,Delhi Daredevils
170.0,2.0,Delhi Daredevils,Mumbai Indians
171.0,1.0,Royal Challengers Bangalore,Deccan Chargers
171.0,2.0,Deccan Chargers,Royal Challengers Bangalore
172.0,1.0,Delhi Daredevils,Deccan Chargers
172.0,2.0,Deccan Chargers,Delhi Daredevils
173.0,1.0,Chennai Super Kings,Royal Challengers Bangalore
173.0,2.0,Royal Challengers Bangalore,Chennai Super Kings
174.0,1.0,Deccan Chargers,Royal Challengers Bangalore
174.0,2.0,Royal Challengers Bangalore,Deccan Chargers
175.0,1.0,Kolkata Knight Riders,Deccan Chargers
175.0,2.0,Deccan Chargers,Kolkata Knight Riders
176.0,1.0,Mumbai Indians,Rajasthan Royals
176.0,2.0,Rajasthan Royals,Mumbai Indians
177.0,1.0,Kings XI Punjab,Delhi Daredevils
177.0,2.0,Delhi Daredevils,Kings XI Punjab
178.0,1.0,Royal Challengers Bangalore,Kolkata Knight Riders
178.0,2.0,Kolkata Knight Riders,Royal Challengers Bangalore
179.0,1.0,Deccan Chargers,Chennai Super Kings
179.0,2.0,Chennai Super Kings,Deccan Chargers
180.0,1.0,Rajasthan Royals,Delhi Daredevils
180.0,2.0,Delhi Daredevils,Rajasthan Royals
181.0,1.0,Kings XI Punjab,Royal Challengers Bangalore
181.0,2.0,Royal Challengers Bangalore,Kings XI Punjab
182.0,1.0,Chennai Super Kings,Kolkata Knight Riders
182.0,2.0,Kolkata Knight Riders,Chennai Super Kings
183.0,1.0,Mumbai Indians,Delhi Daredevils
183.0,2.0,Delhi Daredevils,Mumbai Indians
184.0,1.0,Rajasthan Royals,Royal Challengers Bangalore
184.0,2.0,Royal Challengers Bangalore,Rajasthan Royals
185.0,1.0,Delhi Daredevils,Chennai Super Kings
185.0,2.0,Chennai Super Kings,Delhi Daredevils
186.0,1.0,Deccan Chargers,Kings XI Punjab
186.0,2.0,Kings XI Punjab,Deccan Chargers
187.0,1.0,Rajasthan Royals,Kolkata Knight Riders
187.0,2.0,Kolkata Knight Riders,Rajasthan Royals
188.0,1.0,Mumbai Indians,Royal Challengers Bangalore
188.0,2.0,Royal Challengers Bangalore,Mumbai Indians
189.0,1.0,Deccan Chargers,Delhi Daredevils
189.0,2.0,Delhi Daredevils,Deccan Chargers
190.0,1.0,Kings XI Punjab,Chennai Super Kings
190.0,2.0,Chennai Super Kings,Kings XI Punjab
190.0,3.0,Chennai Super Kings,Kings XI Punjab
190.0,4.0,Kings XI Punjab,Chennai Super Kings
191.0,1.0,Kolkata Knight Riders,Mumbai Indians
191.0,2.0,Mumbai Indians,Kolkata Knight Riders
192.0,1.0,Royal Challengers Bangalore,Chennai Super Kings
192.0,2.0,Chennai Super Kings,Royal Challengers Bangalore
193.0,1.0,Rajasthan Royals,Kings XI Punjab
193.0,2.0,Kings XI Punjab,Rajasthan Royals
194.0,1.0,Chennai Super Kings,Mumbai Indians
194.0,2.0,Mumbai Indians,Chennai Super Kings
195.0,1.0,Deccan Chargers,Rajasthan Royals
195.0,2.0,Rajasthan Royals,Deccan Chargers
196.0,1.0,Kolkata Knight Riders,Kings XI Punjab
196.0,2.0,Kings XI Punjab,Kolkata Knight Riders
197.0,1.0,Delhi Daredevils,Royal Challengers Bangalore
197.0,2.0,Royal Challengers Bangalore,Delhi Daredevils
198.0,1.0,Rajasthan Royals,Chennai Super Kings
198.0,2.0,Chennai Super Kings,Rajasthan Royals
199.0,1.0,Mumbai Indians,Deccan Chargers
199.0,2.0,Deccan Chargers,Mumbai Indians
200.0,1.0,Delhi Daredevils,Kolkata Knight Riders
200.0,2.0,Kolkata Knight Riders,Delhi Daredevils
201.0,1.0,Kings XI Punjab,Mumbai Indians
201.0,2.0,Mumbai Indians,Kings XI Punjab
202.0,1.0,Royal Challengers Bangalore,Chennai Super Kings
202.0,2.0,Chennai Super Kings,Royal Challengers Bangalore
203.0,1.0,Delhi Daredevils,Rajasthan Royals
203.0,2.0,Rajasthan Royals,Delhi Daredevils
204.0,1.0,Kolkata Knight Riders,Deccan Chargers
204.0,2.0,Deccan Chargers,Kolkata Knight Riders
205.0,1.0,Kings XI Punjab,Royal Challengers Bangalore
205.0,2.0,Royal Challengers Bangalore,Kings XI Punjab
206.0,1.0,Chennai Super Kings,Rajasthan Royals
206.0,2.0,Rajasthan Royals,Chennai Super Kings
207.0,1.0,Mumbai Indians,Deccan Chargers
207.0,2.0,Deccan Chargers,Mumbai Indians
208.0,1.0,Kolkata Knight Riders,Kings XI Punjab
208.0,2.0,Kings XI Punjab,Kolkata Knight Riders
209.0,1.0,Delhi Daredevils,Royal Challengers Bangalore
209.0,2.0,Royal Challengers Bangalore,Delhi Daredevils
210.0,1.0,Rajasthan Royals,Deccan Chargers
210.0,2.0,Deccan Chargers,Rajasthan Royals
211.0,1.0,Chennai Super Kings,Mumbai Indians
211.0,2.0,Mumbai Indians,Chennai Super Kings
212.0,1.0,Kings XI Punjab,Rajasthan Royals
212.0,2.0,Rajasthan Royals,Kings XI Punjab
213.0,1.0,Kolkata Knight Riders,Delhi Daredevils
213.0,2.0,Delhi Daredevils,Kolkata Knight Riders
214.0,1.0,Royal Challengers Bangalore,Deccan Chargers
214.0,2.0,Deccan Chargers,Royal Challengers Bangalore
215.0,1.0,Mumbai Indians,Kings XI Punjab
215.0,2.0,Kings XI Punjab,Mumbai Indians
216.0,1.0,Chennai Super Kings,Deccan Chargers
216.0,2.0,Deccan Chargers,Chennai Super Kings
217.0,1.0,Kolkata Knight Riders,Royal Challengers Bangalore
217.0,2.0,Royal Challengers Bangalore,Kolkata Knight Riders
218.0,1.0,Delhi Daredevils,Kings XI Punjab
218.0,2.0,Kings XI Punjab,Delhi Daredevils
219.0,1.0,Mumbai Indians,Rajasthan Royals
219.0,2.0,Rajasthan Royals,Mumbai Indians
220.0,1.0,Deccan Chargers,Royal Challengers Bangalore
220.0,2.0,Royal Challengers Bangalore,Deccan Chargers
221.0,1.0,Mumbai Indians,Delhi Daredevils
221.0,2.0,Delhi Daredevils,Mumbai Indians
222.0,1.0,Kolkata Knight Riders,Chennai Super Kings
222.0,2.0,Chennai Super Kings,Kolkata Knight Riders
223.0,1.0,Rajasthan Royals,Royal Challengers Bangalore
223.0,2.0,Royal Challengers Bangalore,Rajasthan Royals
224.0,1.0,Chennai Super Kings,Delhi Daredevils
224.0,2.0,Delhi Daredevils,Chennai Super Kings
225.0,1.0,Kings XI Punjab,Deccan Chargers
225.0,2.0,Deccan Chargers,Kings XI Punjab
226.0,1.0,Mumbai Indians,Royal Challengers Bangalore
226.0,2.0,Royal Challengers Bangalore,Mumbai Indians
227.0,1.0,Rajasthan Royals,Kolkata Knight Riders
227.0,2.0,Kolkata Knight Riders,Rajasthan Royals
228.0,1.0,Kings XI Punjab,Chennai Super Kings
228.0,2.0,Chennai Super Kings,Kings XI Punjab
229.0,1.0,Deccan Chargers,Delhi Daredevils
229.0,2.0,Delhi Daredevils,Deccan Chargers
230.0,1.0,Mumbai Indians,Kolkata Knight Riders
230.0,2.0,Kolkata Knight Riders,Mumbai Indians
231.0,1.0,Mumbai Indians,Royal Challengers Bangalore
231.0,2.0,Royal Challengers Bangalore,Mumbai Indians
232.0,1.0,Chennai Super Kings,Deccan Chargers
232.0,2.0,Deccan Chargers,Chennai Super Kings
233.0,1.0,Deccan Chargers,Royal Challengers Bangalore
233.0,2.0,Royal Challengers Bangalore,Deccan Chargers
234.0,1.0,Chennai Super Kings,Mumbai Indians
234.0,2.0,Mumbai Indians,Chennai Super Kings
235.0,1.0,Chennai Super Kings,Kolkata Knight Riders
235.0,2.0,Kolkata Knight Riders,Chennai Super Kings
236.0,1.0,Deccan Chargers,Rajasthan Royals
236.0,2.0,Rajasthan Royals,Deccan Chargers
237.0,1.0,Kochi Tuskers Kerala,Royal Challengers Bangalore
237.0,2.0,Royal Challengers Bangalore,Kochi Tuskers Kerala
